,Date,Price,Symbol,Volume RSI,Price RSI,20 SMA,50 SMA,(x) 20 SMA,(x) 50 SMA,50 EMA,200 EMA,(x) 50 EMA,(x) 200 EMA,50/200 MACD SMA,50/200 MACD EMA,BOLU,BOLD,(x) BOLU,(x) BOLD,Price Rate of Change,Stochastic Oscillator,Williams R,VIX,Index Dividend Yield,Index P/E,Index P/Book,1 Day Return,Gain/Loss Flag,Up/Down Indicator,7 Day Return,30 Day Return,90 Day Return
964,2019-11-05,48.599998474121094,ENB.TO,-1.06648649422043,1.3561819671038806,-0.6636420770416882,-1.0563136940500197,47.59550037384033,46.53120025634766,-1.1921418958907364,-1.5561160201805362,46.935408130148275,46.62719029258425,0.9611753009958682,2.1267299522109457,-0.9915120827141725,0.2430867796095806,48.70052911363628,46.43147111015929,0.015101007467759033,0.8640066848007112,-0.8640066848007091,-1.20551831977862,-1.588055749231792,1.9746355216044,1.9423355671121647,0.0012345961970134933,1,3.0,0.028806616663257456,0.04362145706055709,-0.215432052154919
965,2019-11-06,48.65999984741211,ENB.TO,-0.9315733874507044,1.508302426827156,-0.5651287889962504,-0.9971358865817771,47.71100044250488,46.6328002166748,-1.1518305524517558,-1.5261214129738065,47.00303917788411,46.64741725332881,1.2780552169845634,2.1248450301499227,-0.9962248026854591,0.11349164941696584,48.76014370664846,46.61452314312368,0.4237391708539001,0.8350093514629527,-0.8350093514629504,-1.3566888956900647,-1.528468897645413,1.942944420164926,1.6614338961399606,-0.0032881185350150943,1,3.0,0.03801887546079552,0.05240442344958485,-0.2196876009089741
966,2019-11-07,48.5,ENB.TO,-1.1464085339678634,1.0790274041920853,-0.23175979622285622,-0.7926826476721314,47.79200038909912,46.72780021667481,-0.9370011148246042,-1.353625111185504,47.06174352384944,46.66585091249967,1.5679542149828707,2.1022477738683025,-0.6877093489050509,-0.16124629448369715,48.8269177339476,46.73308236777765,-2.1724995297974625,0.42893459018993174,-0.4289345901899308,-1.267907710206722,-1.747368914453838,1.9912779809363135,2.146901292926372,0.021649468805372107,-1,3.0,0.036288625186251755,0.058762855136517134,-0.297113398915713
967,2019-11-08,49.54999923706055,ENB.TO,-1.1552740635027148,1.6818305616019706,-1.4936737298528162,-1.4203511626447116,47.8995002746582,46.84080017089844,-1.7101282508895455,-1.9736152717617301,47.15932217926948,46.69454890577888,1.8718348783080596,2.1351712904618294,-1.7544441160130695,1.0192256953129661,49.14217181371085,46.6301615857439,-0.6579252030383584,0.8082181725214855,-0.8082181725214828,-1.5041082747186256,-1.7197668270838826,2.0409084864187186,2.0718886192369372,0.007870825341138366,1,1.0,0.007870825341138366,0.04722502903365666,-0.2730574972275115
968,2019-11-11,49.939998626708984,ENB.TO,-1.5472660773435458,1.7437897237501325,-1.811093158876562,-1.5777502393553466,48.02550029754639,46.95420013427734,-1.897398534764754,-2.1187725129461863,47.26836831446319,46.726841937827935,2.134454337352262,2.1725382400025626,-1.8295733772561336,1.5311736992774219,49.53136537750983,46.473634673352805,-1.3985547044851057,0.7811124563902014,-0.7811124563901993,-1.2335784574467292,-1.6842502158759831,1.8579902205270205,1.8157326514043612,0.014617532284951107,1,1.0,0.005606780170081649,0.04225071422455029,-0.25810972655402864
969,2019-11-12,50.66999816894531,ENB.TO,-1.5368691284032971,1.8063574145557495,-2.4229544249588546,-1.935977494281414,48.204000282287595,47.07700012207031,-2.291694271796741,-2.421331910101937,47.401765563658564,46.76607732321219,2.3631904506240367,2.2311128223249606,-2.2116959358733097,2.2676613561245453,49.9923514414779,46.34664862464353,-1.2865172650573462,0.7560134206522898,-0.7560134206522875,-1.1966477735678063,-1.6222982083015156,1.8642213118943036,1.9185854583543327,0.013814896156212342,1,-1.0,-0.011051856696868256,0.02782718991636912,-0.3197157594959391
970,2019-11-13,51.369998931884766,ENB.TO,-1.5584762670150656,1.8113908978773166,-2.816741849029592,-2.2153785423944004,48.41500015258789,47.212400131225586,-2.566372575939276,-2.6328660655629874,47.55738255849097,46.811887488472614,2.557415075453139,2.301909249085105,-2.305245287013932,2.847475627718253,50.552053276551874,46.182280016091354,3.088052900698466,0.7385443434129904,-0.7385443434129879,-1.0318235583198234,-1.5571482791349365,1.8060235170691386,1.8275654663290664,-0.026669241977235525,1,-3.0,-0.032314578195986265,0.00837065045973473,-0.23359938192546337
971,2019-11-14,50.0,ENB.TO,-1.130575463570924,0.21456186350414558,-0.8692043196013524,-1.1544912627506407,48.56650009155273,47.32220016479492,-1.344238128965598,-1.7161902948264618,47.65317147776584,46.84361000102513,2.6586743853758703,2.276796253415992,0.17778644165508872,1.4138575872344117,50.73475121302269,46.318248664907,-0.8748796658160565,-0.5006156296123658,0.5006156296123647,-0.9785535726342468,-1.4993544799186371,1.7304473510839147,1.7478369551533945,0.01019996643066401,-1,-1.0,0.005400009155273056,0.0319999694824209,-0.1883999633789054
972,2019-11-15,50.5099983215332,ENB.TO,-0.47700656162376276,0.32107257405372147,-1.2721355855257226,-1.389906459260944,48.723999977111816,47.43080009460449,-1.6064248963526735,-1.9088520927853716,47.765203903011624,46.88009147685108,2.707226734240145,2.2697756730822056,-0.3131193905975141,1.709975011813243,50.938806752618746,46.41319303884447,0.7562780528046656,-0.03967951998918661,0.039679519989186715,-1.3382903492603382,-1.9843055361729982,1.9975937872456613,2.0035337656160075,-0.004949515112009473,1,-3.0,-0.0089090667827314,0.022173882078798446,-0.16966937199779564
973,2019-11-18,50.2599983215332,ENB.TO,-1.2332717399708253,0.19067720548471997,-0.7565502403147135,-1.1133937562279155,48.86599998474121,47.53100006103516,-1.2895255706906577,-1.6792626293272883,47.863038978247765,46.913722390728516,2.71152759363592,2.2417489109219986,0.37774346991211094,1.3404206333037028,51.116283569008964,46.528049443889806,1.0157307593812956,-0.34697577358643206,0.34697577358643106,-1.1360151552870168,-1.8888727901395326,1.9002617289433097,1.9041208011556627,-0.006366886301448993,-1,-1.0,0.003979322913223449,0.025865560986316094,-0.22662156327149285
